"type de bonus","nom du bonus","titre affiché dans l’interface","texte exact affiché (durée · intitulé)"
"carte","Précision du prochain Coup","Oui","Prochain Coup · +X précision"
"carte","Placement du prochain Coup","Oui","Prochain Coup · +X placement"
"carte","Placement de la prochaine carte","Oui","Prochaine carte · +X placement"
"énergie","Réduction du coût du prochain Coup","Oui","Prochain Coup · coûte X endurance de moins"
"énergie","Augmentation du coût du prochain Coup","Oui","Prochain Coup · coûte X endurance de plus"
"carte","Multiplicateur de puissance","Oui","Prochain Coup · puissance multipliée par X"
"carte","Bonus de précision pendant l’échange","Oui","Pendant l’échange · +X précision sur toutes vos cartes"
"carte","Bonus de placement pendant l’échange","Oui","Pendant l’échange · +X placement sur toutes vos cartes"
"carte","Bonus de puissance par famille","Oui","Pendant l’échange · +X puissance sur [familles de cartes]"
"carte","Bonus de puissance avec familles exclues","Oui","Pendant l’échange · +X puissance sur tous vos Coups sauf [familles exclues]"
"carte","Placement après une famille","Oui","Pendant l’échange · +X placement sur chaque Coup joué après un [famille]"
"carte","Placement selon les cartes adverses","Oui","Pendant l’échange · +X placement par carte adverse de puissance inférieure à X"
"carte","Protection contre la suppression","Oui","Pendant l’échange · vos cartes ne peuvent pas être supprimées"
"carte","Annulation du prochain Effet","Oui","Prochain Effet adverse · annulé"
"carte","BOOST sans placement","Oui","Prochain BOOST · disponible sans condition de placement"
"carte","Joker de placement","Oui","Ce tour · la contrainte de placement est ignorée"
"autres","Familles de cartes limitées","Oui","Ce tour · seules les cartes [familles] peuvent être jouées"
"autres","Placement obligatoire","Oui","Ce tour · placement minimum requis X"
"carte","BOOST disponible","Oui","Ce tour · BOOST disponible"
"autres","Contrainte du retour de service","Oui","Retour de service · Volée et Smash interdits"
"autres","Contrainte de passe de Rosa","Oui","Pendant l’échange · si vous passez, Rosa gagne +X puissance"
"carte","Doublement de la dernière carte Coup","Oui","Fin de l’échange · double la puissance de votre dernière carte Coup"
"carte","Bonus des cartes jouées en BOOST","Oui","Fin de l’échange · +X puissance par carte jouée en BOOST"
"surface","Puissance Volée ou Smash","Oui","+2 puissance pour chaque Volée ou Smash joué"
"surface","Réduction du coût Effet/Remise","Oui","Les cartes Effet/Remise coûtent 1 endurance en moins"
"surface","BOOST précision et pioche","Oui","Chaque BOOST donne +1 précision sur la carte suivante et pioche 1 carte"
"surface","Puissance des Coups précis","Oui","+1 puissance pour chaque Coup avec précision supérieure à 3"
"surface","Pioche sur Coup économique","Oui","Pioche 1 carte à chaque Coup qui coûte 1 endurance"
"surface","BOOST placement","Oui","Chaque BOOST donne +2 placement sur la carte suivante"
"surface","Puissance Coup droit ou Revers","Oui","+1 puissance pour chaque Coup droit ou Revers joué"
"surface","Récupération sur Coup droit","Oui","+1 endurance pour chaque Coup droit joué"
"surface","Puissance des BOOSTS","Oui","+2 puissance pour chaque BOOST joué"
"autres","Bonus permanent de placement","Oui","+1 placement permanent"
"autres","Bonus permanent de précision","Oui","+1 précision permanente"
"autres","Bonus permanent de puissance","Oui","+1 puissance permanente"
"autres","Numéro 1 mondial","Oui","Numéro 1 mondial · +2 précision / +2 placement"
"autres","Tête de série","Oui","Tête de série · +1 précision / +1 placement"
"autres","Tête de série IA","Oui","Tête de série IA · +1 précision / +1 placement"
"autres","Domination","Oui","Domination · +2 placement"
"autres","Ascendant","Oui","Ascendant · +1 placement"
"autres","Bête noire","Oui","Bête noire · +2 placement"
"autres","Motivation","Oui","Motivation · [texte du bonus attribué]"
"autres","Ace","Oui","Ace · [texte du bonus attribué]"
"autres","Enchaînement","Oui","Enchaînement · [texte du bonus attribué]"
"autres","Bulle","Oui","Bulle · [texte du bonus attribué]"
"autres","Bonus étoile","Oui","Bonus étoile · [texte de l’effet actif]"
